doc Pairs 	hash similarity 	line similarity 	Link
input/58d9c46cbc37ce02822aa320c8d448c9_1_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	67.57882212968471	109	Link
input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java - input/8e0adf9a436b68df09494829a83f6931_2_ShiftTacToe.java	67.51457339692634	114	Link
input/426f847f3fd6374bb79d168bc1837824_6_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	67.48743718592965	125	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	67.47732893652102	161	Link
input/3feeecacf7ece64a3d68315f4047e69c_8_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	67.46157922628511	116	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	67.17877094972067	124	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	67.13221601489758	129	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/61f0f60851037ee6f626120b690c5f03_1_ShiftTacToe.java	67.01077199281868	150	Link
input/a96058ad215dfc065010765cf1da256c_9_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	66.93163751987281	114	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/68422524eacdc14483ccfabbd4e55252_7_ShiftTacToe.java	66.92100538599641	139	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/589cf3a984b500c2634e8e0623cec5ed_4_ShiftTacToe.java	66.92100538599641	139	Link
input/0b60c7fcd21b6202476ddb020f6ef5e1_3_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	66.86496133254016	114	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java	66.85082872928177	181	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/8e0adf9a436b68df09494829a83f6931_2_ShiftTacToe.java	66.73366834170854	119	Link
input/3feeecacf7ece64a3d68315f4047e69c_8_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	66.68341708542714	123	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	66.68341708542714	123	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	66.65292662819456	163	Link
input/eada16d94f898924e69e5d7b25f42a7e_3_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	66.62700773349196	105	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java	66.62204373047747	147	Link
